,Ahlgren Scott D.,Albin Pierre,Balogh József,Baryshnikov Yuliy M.,Berwick-Evans Daniel,Boca Florin-Petre,Bradlow Steven Benjamin,Bronski Jared C.,Cooney Daniel B.,De Ville R E Lee,Dey Partha Sarathi,Di Francesco Philippe,Dodd Christopher,Dunfield Nathan M.,Dutta Sankar Prasad,Duursma Iwan Maynard,Erdoğan Mehmet Burak,Fadina Tolulope,Feng Runhuan,Fernandes Rui Loja,Ford Kevin B.,Guzman Rosemary K.,Haboush William J.,Heller Jeremiah Ben,Hinkkanen Aimo,Hirani Anil N.,Hung Pei-Ken,Hur Vera Mikyoung,Ivanov Sergei Vladimirovich,Janda Felix,Jing Xiaochen,Junge Marius,Katz Sheldon H.,Kedem Rinat,Kerman Ely,Kirkpatrick Kay Lene,Kirr Eduard,Kostochka Alexandr V.,Kutzarova Denka N.,La Nave Gabriele,Laugesen Richard Snyder,Leditzky Felix,Lerman Eugene M.,Liu Yuan,Li Xiaochun,Mc Carthy Randy,Mineyev Igor,Nikolaev Igor G.,Oikhberg Timur,Pascaleff James Thomas,Quan Zhiyu,Rapti Zoi,Rasmussen Jacob,Rasmussen Sarah Dean,Rezk Charles W.,Reznick Bruce,Song Renming,Sowers Richard B.,Stojanoska Vesna,Thorner Jesse,Tolman Susan,Tumanov Alexander,Tyson Jeremy T.,Tzirakis Nikolaos,Wei Wei,Wu Xuan,Yong Alexander T F.,Young Amanda,Zaharescu Alexandru,Zharnitsky Vadim
Kedem Rinat,5,4,4,5,2,3,2,3,0,2,0,11,2,0,1,0,6,0,0,6,3,0,1,1,1,0,1,5,3,4,0,5,6,20,1,1,0,2,2,3,2,3,8,1,2,0,1,0,1,1,0,1,2,1,0,4,2,1,1,4,6,3,2,2,0,0,9,1,7,2
Kerman Ely,3,2,2,2,3,2,2,0,0,0,1,1,2,3,2,3,2,0,1,5,4,1,1,3,3,1,2,1,1,3,0,5,2,1,14,2,1,1,0,2,1,2,4,1,0,2,2,2,0,2,0,1,3,1,3,1,1,0,4,2,7,0,1,1,0,0,4,1,4,0
Kirkpatrick Kay Lene,2,3,0,3,2,2,2,3,0,4,3,3,0,3,2,1,4,0,1,3,0,1,2,2,0,1,5,3,0,1,0,7,2,1,2,16,2,0,1,5,4,2,3,1,1,1,0,1,2,1,0,1,2,1,2,1,0,1,1,0,2,0,1,2,0,0,3,4,1,2
Kirr Eduard,0,2,0,1,2,1,0,2,0,1,2,1,0,1,1,1,3,0,1,1,0,1,1,1,0,1,1,2,0,1,0,2,0,0,1,2,11,0,1,1,2,0,0,1,0,1,0,1,1,1,0,2,1,1,1,1,2,1,1,0,0,0,1,3,0,0,0,3,1,2
Kostochka Alexandr V.,3,0,22,4,0,3,2,1,0,1,0,3,1,1,2,4,1,0,0,2,5,0,0,1,4,1,0,1,3,1,0,5,2,2,1,0,0,52,3,0,5,1,2,0,1,0,1,2,5,0,0,0,0,0,1,4,1,2,1,1,1,2,2,3,0,0,8,0,4,1
Kutzarova Denka N.,4,2,5,4,1,8,1,1,0,1,1,1,1,2,2,2,7,0,2,4,6,0,1,2,6,0,0,3,5,1,0,14,3,2,0,1,1,3,41,0,11,0,3,0,4,2,1,0,13,2,0,0,1,0,1,4,7,4,2,4,2,4,5,6,0,0,6,0,13,1
La Nave Gabriele,5,5,2,3,2,2,3,1,0,0,1,3,1,2,2,1,3,0,1,4,3,1,2,3,1,1,4,3,2,3,0,6,4,3,2,5,1,0,0,16,3,1,4,3,2,1,0,2,1,1,0,2,3,2,2,3,2,0,1,2,3,1,2,1,0,0,5,1,6,1
Laugesen Richard Snyder,5,5,5,4,0,8,5,2,0,1,1,2,1,3,5,1,9,0,1,6,8,0,1,2,13,0,3,5,5,2,0,13,4,2,1,4,2,5,11,3,47,1,3,0,5,1,2,0,11,2,0,0,1,0,3,7,6,4,2,2,3,9,8,6,0,0,7,2,13,4
Leditzky Felix,0,0,1,2,1,1,2,1,0,0,0,4,0,0,0,1,1,0,0,3,0,0,0,0,0,1,2,2,0,1,0,4,1,3,2,2,0,1,0,1,1,9,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,1
Lerman Eugene M.,5,4,7,7,4,8,5,4,0,4,0,5,2,5,2,1,9,0,0,10,8,0,2,1,2,0,2,6,4,4,0,12,8,8,4,3,0,2,3,4,3,2,25,1,4,4,2,0,3,1,0,0,4,1,2,6,4,5,1,7,10,4,4,5,0,0,8,0,9,4
Liu Yuan,2,3,1,1,2,2,1,0,0,0,1,1,0,1,1,1,1,0,1,2,2,1,1,2,0,1,1,1,1,2,0,2,0,1,1,1,1,0,0,3,0,0,1,5,0,1,0,1,0,1,0,1,2,2,1,2,1,0,1,2,1,0,1,0,0,0,3,1,3,0
Li Xiaochun,3,3,2,2,1,4,2,1,0,1,0,2,1,2,2,1,8,0,0,5,6,0,2,1,6,0,1,2,3,1,0,8,5,2,0,1,0,1,4,2,5,0,4,0,23,2,2,0,4,1,0,0,1,1,3,6,6,3,2,3,2,6,7,3,0,0,4,1,6,2
Mc Carthy Randy,2,1,1,1,3,3,2,0,0,0,1,0,2,4,3,3,2,0,1,2,3,1,4,5,2,1,1,0,3,2,0,4,1,0,2,1,1,0,2,1,1,0,4,1,2,16,2,1,1,2,0,1,2,1,5,2,1,1,5,1,2,1,3,2,0,0,1,1,5,0
Mineyev Igor,2,1,1,3,1,2,4,1,0,1,0,1,2,2,3,1,2,0,0,3,4,1,0,3,3,1,1,1,3,1,0,3,2,1,2,0,0,1,1,0,2,0,2,0,2,2,13,0,1,1,0,0,1,0,4,2,2,1,2,1,4,2,4,1,0,0,1,0,4,1
Nikolaev Igor G.,0,1,0,1,1,1,1,0,0,0,1,1,0,1,2,1,0,0,1,0,1,1,1,1,2,1,1,0,3,3,0,0,1,0,2,1,1,2,0,2,0,0,0,1,0,1,0,13,0,1,0,1,1,1,1,0,0,0,1,0,0,3,3,0,0,0,0,1,3,0
Oikhberg Timur,5,0,7,2,0,9,4,1,0,2,0,3,1,2,3,0,5,0,1,2,5,0,0,1,7,0,0,1,6,0,0,15,1,1,0,2,1,5,13,1,11,1,3,0,4,1,1,0,30,0,0,0,0,1,0,5,6,4,1,1,1,3,6,5,0,0,4,2,12,2
Pascaleff James Thomas,0,3,0,0,2,2,0,0,0,0,2,0,1,2,1,2,0,0,2,1,1,1,1,2,0,1,1,1,0,3,0,1,1,1,2,1,1,0,2,1,2,0,1,1,1,2,1,1,0,5,0,1,3,2,2,1,0,0,2,1,2,2,0,0,0,0,2,1,1,0
